dep,partida4,producto,fob_usd,kg
Lima,0804,"Palta, mango, dátil y piña",601585542.34,342034698.2
Lima,0810,"Arándano, fresa y otras bayas",299695615.87,45692075.8
Lima,0806,Uva,170123780.07,60419702.5
Lima,0805,Cítricos,169383447.11,134196433.4
La Libertad,0804,"Palta, mango, dátil y piña",153116223.26,89265330.5
La Libertad,0810,"Arándano, fresa y otras bayas",98445717.92,13572831.3
Cajamarca,0901,Café,87964412.4,14691486.0
Callao,0901,Café,82205744.37,12906002.4
Lima,0901,Café,73453761.08,11108828.3
Piura,0806,Uva,63245428.02,22107228.8
Lima,1801,Cacao en grano,60804864.97,12506774.2
Ica,0804,"Palta, mango, dátil y piña",52614333.2,30597518.8
Lima,0709,Hortalizas frescas (espárrago y otras),42877060.88,9764918.1
La Libertad,2005,Hortalizas preparadas,37416769.32,14028134.4
Ica,0810,"Arándano, fresa y otras bayas",37333545.69,5686137.4
Junin,0901,Café,36732255.73,6064071.4
Lima,0811,Frutas congeladas,34950027.13,13719366.8
Piura,0804,"Palta, mango, dátil y piña",32156889.11,22129081.2
Amazonas,0901,Café,30149686.95,4857221.0
Lima,0904,Pimienta y ají,29944198.34,6861974.1
Lima,1804,Manteca de cacao,28631227.04,3799615.5
Lima,1806,Chocolate,25867399.14,3156424.8
La Libertad,0709,Hortalizas frescas (espárrago y otras),25863048.1,5390841.6
Lima,2009,Jugos de fruta,25842480.05,10205567.3
Ica,0709,Hortalizas frescas (espárrago y otras),25224070.44,4937159.3
Piura,0803,Banano y plátano,21601806.49,24616470.2
Ucayali,1801,Cacao en grano,21003070.02,4586951.1
Lima,1209,Semillas para siembra,20003718.71,243747.2
Lima,2008,Frutas preparadas,19534535.77,8402003.7
San Martin,1801,Cacao en grano,19009542.0,4361521.2
La Libertad,0811,Frutas congeladas,17056009.54,6434469.3
Junin,1801,Cacao en grano,15478818.5,3274807.4
Lima,2005,Hortalizas preparadas,15403469.2,6750083.7
Lima,0708,Legumbres frescas,14986788.12,4972179.1
Lima,1805,Cacao en polvo,14907462.76,2118956.3
Ancash,0810,"Arándano, fresa y otras bayas",12976304.06,1891604.3
Lima,2106,Preparaciones alimenticias,11572289.36,2058586.9
Piura,0811,Frutas congeladas,11291606.64,3618726.2
Madre De Dios,0801,Coco y castaña,10896970.9,1046280.0
La Libertad,2001,Conservas en vinagre,10064655.15,4112705.8
Lima,2103,Salsas y condimentos,8922776.66,3652354.1
Junin,0910,"Jengibre, cúrcuma y especias",8693171.08,6314361.0
Lima,0801,Coco y castaña,8661399.0,903458.6
Lima,0910,"Jengibre, cúrcuma y especias",8477174.35,4585304.2
Lima,1207,Semillas oleaginosas,8424800.83,1269930.3
Lambayeque,0901,Café,8323888.56,1284018.0
Ancash,0811,Frutas congeladas,8211775.19,3156913.1
Lima,1803,Pasta de cacao,7931312.1,1423937.8
Lima,0710,Hortalizas congeladas,7603842.9,2545270.1
Lima,0703,Cebolla y ajo,7485859.55,17803822.1
Piura,0810,"Arándano, fresa y otras bayas",7252377.28,1043548.6
Piura,0805,Cítricos,7246054.11,5923981.9
Arequipa,0806,Uva,6993754.33,1781236.8
San Martin,0901,Café,6925914.01,1227345.5
Piura,2106,Preparaciones alimenticias,6891779.94,375026.0
Lambayeque,0804,"Palta, mango, dátil y piña",6704827.73,4560626.0
Lambayeque,0803,Banano y plátano,6072042.29,7209561.6
Ica,0806,Uva,5865621.55,1710609.2
Cusco,1801,Cacao en grano,5472845.55,1302280.0
Lima,0713,Legumbres secas,5383971.62,3799782.3
Ica,0805,Cítricos,5352997.2,4423370.0
Callao,2009,Jugos de fruta,5265686.04,1571767.0
Ancash,0804,"Palta, mango, dátil y piña",4841622.16,2262235.7
Lambayeque,0811,Frutas congeladas,4594458.31,1916297.2
Lima,2104,Sopas y caldos,4586698.86,1761692.9
Ica,2002,Tomate preparado,4488352.79,4878162.5
Callao,0804,"Palta, mango, dátil y piña",4265451.38,3034914.0
Lima,0814,Cortezas de cítricos,4213780.08,3864641.5
Callao,0709,Hortalizas frescas (espárrago y otras),4160666.94,1164846.4
Lambayeque,0713,Legumbres secas,3764538.02,2688625.7
Tacna,2005,Hortalizas preparadas,3616212.3,1782918.2
Callao,0811,Frutas congeladas,3587202.24,1139331.0
Tacna,1211,Plantas para perfumería,3428850.89,1354185.5
Piura,2005,Hortalizas preparadas,3351222.14,1976440.9
Callao,1209,Semillas para siembra,3336208.64,2394.5
Lima,1211,Plantas para perfumería,3281844.53,754284.9
Piura,2009,Jugos de fruta,3246485.39,790053.8
Arequipa,2005,Hortalizas preparadas,3208948.36,1220192.4
Arequipa,0810,"Arándano, fresa y otras bayas",3000083.54,1350428.6
Lima,0714,Raíces y tubérculos,2852835.65,1906276.1
Callao,0805,Cítricos,2568708.57,2101171.0
Piura,2001,Conservas en vinagre,2515104.8,854555.7
Callao,2103,Salsas y condimentos,2482279.05,557835.1
San Martin,2008,Frutas preparadas,2403860.53,839299.4
Lima,2007,Mermeladas y purés,2296069.54,1530896.7
Tumbes,0703,Cebolla y ajo,2257256.19,6937787.0
Lambayeque,2005,Hortalizas preparadas,2249625.9,1493162.8
Junin,0804,"Palta, mango, dátil y piña",2167829.78,178265.2
Tacna,0712,Hortalizas secas,2155667.25,275041.9
Lambayeque,0710,Hortalizas congeladas,2140543.6,1062752.4
Lima,1212,Algarroba y otros frutos,2091673.77,2694724.1
La Libertad,2008,Frutas preparadas,1831327.21,501071.0
Lima,0803,Banano y plátano,1814494.62,2151044.2
Arequipa,0712,Hortalizas secas,1790766.54,74534.0
La Libertad,0806,Uva,1727502.54,705380.4
Lima,2001,Conservas en vinagre,1699209.69,1043539.7
Lima,0813,Frutas secas,1679843.0,156860.4
Lambayeque,0806,Uva,1647295.97,384515.0
Piura,0910,"Jengibre, cúrcuma y especias",1583472.68,1077188.5
La Libertad,0710,Hortalizas congeladas,1524073.04,441972.9
Ica,1212,Algarroba y otros frutos,1483891.1,1992210.0
Lambayeque,0703,Cebolla y ajo,1470975.39,3414409.0
Arequipa,1212,Algarroba y otros frutos,1421869.22,1752845.0
La Libertad,2103,Salsas y condimentos,1314043.32,280208.0
Lambayeque,2009,Jugos de fruta,1234507.64,387017.0
Piura,0814,Cortezas de cítricos,1215471.26,924936.9
Piura,0713,Legumbres secas,1160977.98,818000.0
Arequipa,0804,"Palta, mango, dátil y piña",1155258.55,700442.0
Callao,0810,"Arándano, fresa y otras bayas",1112668.79,141316.0
Ancash,0708,Legumbres frescas,1077547.37,287477.8
Junin,0805,Cítricos,1063619.82,1187592.0
Ancash,0714,Raíces y tubérculos,1058400.0,504000.0
Lambayeque,0810,"Arándano, fresa y otras bayas",987451.62,126846.5
Lima,1802,Cáscara de cacao,944578.2,1453978.3
Cusco,0901,Café,940590.95,110027.0
Tacna,0711,Hortalizas conservadas provisionalmente,935827.0,1257435.0
Lima,0711,Hortalizas conservadas provisionalmente,922078.98,703751.9
Lambayeque,0709,Hortalizas frescas (espárrago y otras),906448.53,261275.0
Callao,0710,Hortalizas congeladas,872447.46,296024.3
La Libertad,0803,Banano y plátano,843074.0,1042027.2
La Libertad,2006,Frutas confitadas,835611.81,184964.0
Ayacucho,1211,Plantas para perfumería,834868.5,259456.0
Arequipa,0904,Pimienta y ají,799408.75,192200.0
Callao,1207,Semillas oleaginosas,797922.5,1704.7
Huanuco,1801,Cacao en grano,792427.46,108341.0
Callao,0904,Pimienta y ají,749744.74,181701.0
Loreto,1801,Cacao en grano,734730.72,150238.0
La Libertad,0703,Cebolla y ajo,726910.5,1842870.0
Piura,2008,Frutas preparadas,685259.84,445084.1
Tumbes,0713,Legumbres secas,649563.62,499671.5
Ancash,2008,Frutas preparadas,624072.46,205810.0
Arequipa,2001,Conservas en vinagre,622386.71,169924.5
Piura,1207,Semillas oleaginosas,621123.6,251130.0
Lima,0702,Tomate,618838.22,1078200.0
Ucayali,1209,Semillas para siembra,574800.0,40000.0
Ica,1209,Semillas para siembra,572842.01,2140.0
Huanuco,1805,Cacao en polvo,562749.14,53023.3
Moquegua,0810,"Arándano, fresa y otras bayas",551200.0,77268.0
