partida4,producto,fob_usd,kg,empresas,destinos,descripcion
0804,"Palta, mango, dátil y piña",862244416.37,496789232.6,243,42,PALTAS FRESCAS EN CAJAS VARIEDAD: HASS CONSUMO HUMANO
0810,"Arándano, fresa y otras bayas",461429441.92,69627714.3,170,46,ARANDANOS FRESCOSCODIGO No13 RESTITUCION DE DERECHOS ARANCEL
0901,Café,331805506.99,53014628.2,164,46,CAFE VERDE EN GRANO A GRANEL CONSUMO HUMANO
0806,Uva,249900926.06,87286784.7,96,35,UVAS DE MESA FRESCAS EN CAJAS EN 20 PALLETS CHEP B4840A VARI
0805,Cítricos,186521258.95,148591866.3,174,31,MANDARINAS FRESCAS EN CAJAS VARIEDAD TANGO COLD TREATMENT
1801,Cacao en grano,137611467.79,29056487.8,90,31,CACAO EN GRANO CONVENCIONAL G1 EN SACOS CONSUMO HUMANO DRAWB
0709,Hortalizas frescas (espárrago y otras),99353910.42,23567322.5,96,36,ESPARRAGOS VERDES FRESCOSCODIGO No13 RESTITUCION DE DERECHOS
0811,Frutas congeladas,79772040.84,30004315.6,70,39,PALTA CONGELADA EN CAJAS CONSUMO HUMANO DRAWBACK D.S. 104-95
2005,Hortalizas preparadas,65515592.83,27313496.5,108,39,CONSERVAS DE PIMIENTO PIQUILLO CONSUMO HUMANO
2009,Jugos de fruta,35831206.46,13038430.7,33,30,"JUGO DE MARACUYA 12-15 BRIX, CONGELADO ENVASADO EN CILINDROS"
0904,Pimienta y ají,32080104.34,7568378.6,93,21,PAPRIKA SECA PREMIUM PAPRIKA DRY WHOLE PREMIUM 1770 BOXES OF
0803,Banano y plátano,30886922.99,35079059.1,47,18,BANANO ORGANICO VERDE FRESCO DE LA VARIEDAD CAVENDISH VALERY
1804,Manteca de cacao,29425772.93,3897677.7,16,26,MUESTRA EMBARQUE MANTECA DEO 400 GR
1806,Chocolate,26309451.88,3245139.1,77,30,CHOC.INST.SOL DEL CUSCO CLAV/CAN.90GR.X4DSP
2008,Frutas preparadas,25810083.24,10659069.0,87,31,PALMITOS PREPARADOS O CONSERVADOS USO: CONSUMO HUMANO
1209,Semillas para siembra,24519745.68,288402.8,15,10,SEMILLA HIBRIDA DE PIMIENTOVARIEDAD SEGUN FACTURACODIGO No13
0801,Coco y castaña,19813482.76,2170016.6,29,31,NUECES DE BRASIL EN CAJA DE 20 KG - MEDIUM CONSUMO HUMANO DR
0910,"Jengibre, cúrcuma y especias",19769919.64,12583192.5,112,26,"HIERBAS, DILL CAJA DE CARTON X 15 LBCODIGO No13 RESTITUCION "
2106,Preparaciones alimenticias,18867425.29,2528636.7,109,38,MEZCLA EN POLVO A BASE DE ALMIDON DE YUCA PARA PREPARAR BEBI
0708,Legumbres frescas,16206159.89,6692111.0,27,8,VAINA DE FREJOL FRESCOEN MALLAS
1805,Cacao en polvo,15829220.94,2220964.2,30,35,POLVO DE CACAO NATURAL 10/12% / BOLSA X 25KG
